#a(fm) beta m_s*a m_ud*a
0.105 3.82197 0.0416091 0.00147812
0.104 3.82615 0.0411715 0.00146257
0.103 3.83039 0.0407348 0.00144706
0.102 3.8347 0.0402991 0.00143158
0.101 3.83907 0.0398644 0.00141614
0.1 3.8435 0.0394307 0.00140074
0.099 3.84801 0.038998 0.00138536
0.098 3.85258 0.0385662 0.00137003
0.097 3.85722 0.0381354 0.00135472
0.096 3.86193 0.0377054 0.00133945
0.095 3.86672 0.0372764 0.00132421
0.094 3.87159 0.0368482 0.001309
0.093 3.87653 0.0364209 0.00129382
0.092 3.88156 0.0359945 0.00127867
0.091 3.88666 0.035569 0.00126355
0.09 3.89186 0.0351442 0.00124846
0.089 3.89714 0.0347203 0.0012334
0.088 3.90251 0.0342972 0.00121837
0.087 3.90797 0.0338749 0.00120337
0.086 3.91353 0.0334533 0.0011884
0.085 3.91919 0.0330326 0.00117345
0.084 3.92495 0.0326125 0.00115853
0.083 3.93081 0.0321933 0.00114363
0.082 3.93678 0.0317747 0.00112876
0.081 3.94286 0.0313569 0.00111392
0.08 3.94906 0.0309398 0.0010991
0.079 3.95537 0.0305233 0.00108431
0.078 3.9618 0.0301076 0.00106954
0.077 3.96836 0.0296925 0.0010548
0.076 3.97505 0.0292781 0.00104007
0.075 3.98187 0.0288643 0.00102537
0.074 3.98882 0.0284511 0.0010107
0.073 3.99592 0.0280386 0.000996044
0.072 4.00317 0.0276268 0.000981412
0.071 4.01056 0.0272155 0.000966802
0.07 4.01811 0.0268048 0.000952213
0.069 4.02582 0.0263947 0.000937646
0.068 4.0337 0.0259852 0.000923099
0.067 4.04175 0.0255763 0.000908573
0.066 4.04998 0.025168 0.000894067
0.065 4.05838 0.0247602 0.000879581
0.064 4.06698 0.024353 0.000865115
0.063 4.07578 0.0239463 0.000850669
0.062 4.08477 0.0235402 0.000836242
0.061 4.09398 0.0231346 0.000821835
0.06 4.1034 0.0227296 0.000807447
0.059 4.11304 0.0223252 0.000793078
0.058 4.12291 0.0219212 0.000778729
0.057 4.13302 0.0215178 0.000764399
0.056 4.14338 0.021115 0.000750089
0.055 4.15399 0.0207127 0.000735797
0.054 4.16486 0.0203109 0.000721526
0.053 4.176 0.0199098 0.000707274
0.052 4.18742 0.0195091 0.000693042
0.051 4.19912 0.0191091 0.00067883
0.05 4.21111 0.0187096 0.000664639
0.049 4.2234 0.0183107 0.000650469
0.048 4.236 0.0179124 0.000636321
0.047 4.24891 0.0175148 0.000622194
0.046 4.26214 0.0171178 0.000608091
0.045 4.27569 0.0167214 0.000594011
0.044 4.28956 0.0163258 0.000579956
0.043 4.30375 0.0159308 0.000565926
0.042 4.31826 0.0155367 0.000551924
0.041 4.33308 0.0151433 0.000537949
0.04 4.34821 0.0147507 0.000524005
0.039 4.36362 0.0143591 0.000510092
0.038 4.37928 0.0139684 0.000496213
0.037 4.39516 0.0135787 0.000482371
0.036 4.41122 0.0131902 0.000468567
0.035 4.42834 0.0128016 0.000454762
0.034 4.44702 0.0124124 0.000440938
0.033 4.46627 0.0120241 0.000427144
0.032 4.48612 0.0116367 0.000413381
0.031 4.5066 0.0112501 0.000399649
0.03 4.52776 0.0108645 0.000385951
0.029 4.54965 0.0104798 0.000372285
0.028 4.5723 0.0100961 0.000358653
0.027 4.59579 0.00971332 0.000345056
0.026 4.62017 0.00933156 0.000331494
0.025 4.64552 0.00895084 0.000317969
0.024 4.67191 0.00857118 0.000304482
0.023 4.69943 0.00819261 0.000291034
0.022 4.72818 0.00781519 0.000277626
0.021 4.75828 0.00743893 0.00026426
0.02 4.78986 0.00706389 0.000250937
0.019 4.82308 0.00669011 0.000237659
0.018 4.8581 0.00631764 0.000224428
0.017 4.89514 0.00594655 0.000211245
0.016 4.93444 0.0055769 0.000198114
0.015 4.9763 0.00520875 0.000185035
0.014 5.02106 0.00484219 0.000172014
0.013 5.06917 0.0044773 0.000159052
0.012 5.12116 0.00411419 0.000146153
0.011 5.1777 0.00375298 0.000133321
0.01 5.23967 0.00339381 0.000120562
0.009 5.30821 0.00303684 0.00010788
0.008 5.38489 0.00268226 9.52844e-05
0.007 5.47189 0.00233032 8.27822e-05
0.006 5.5724 0.00198132 7.03844e-05
0.005 5.69138 0.00163567 5.81055e-05
0.004 5.83716 0.00129391 4.59648e-05
0.003 6.02534 0.000956843 3.39909e-05
0.002 6.29099 0.00062578 2.22302e-05
0.001 6.74617 0.000303325 1.07753e-05
